2025/04/12 22:03:04.390 [A]  Writing log to file:upload.log
2025/04/12 22:03:04.984 [A]  Upload File success dist/ossweb-img/css/L.Control.Zoomslider.css => [td-res:sjzdtz3/m/css/L.Control.Zoomslider.css] duration:0.27s Speed:10.42KB/s
2025/04/12 22:03:04.996 [A]  Upload File success dist/ossweb-img/bxx.png => [td-res:sjzdtz3/m/bxx.png] duration:0.39s Speed:73.64KB/s
2025/04/12 22:03:05.010 [A]  Upload File success dist/ossweb-img/btn_check_marker.png => [td-res:sjzdtz3/m/btn_check_marker.png] duration:0.45s Speed:395.59KB/s
2025/04/12 22:03:05.021 [A]  Upload File success dist/ossweb-img/ctg.png => [td-res:sjzdtz3/m/ctg.png] duration:0.26s Speed:119.71KB/s
2025/04/12 22:03:05.040 [A]  Upload File success dist/ossweb-img/deploy_aakfc.png => [td-res:sjzdtz3/m/deploy_aakfc.png] duration:0.23s Speed:151.73KB/s
2025/04/12 22:03:05.040 [A]  Upload File success dist/ossweb-img/choose_bg_click.png => [td-res:sjzdtz3/m/choose_bg_click.png] duration:0.38s Speed:184.42KB/s
2025/04/12 22:03:05.056 [A]  Upload File success dist/ossweb-img/deploy_atvqdxc.png => [td-res:sjzdtz3/m/deploy_atvqdxc.png] duration:0.19s Speed:146.84KB/s
2025/04/12 22:03:05.091 [A]  Upload File success dist/ossweb-img/deploy_g1bzc.png => [td-res:sjzdtz3/m/deploy_g1bzc.png] duration:0.18s Speed:186.21KB/s
2025/04/12 22:03:05.113 [A]  Upload File success dist/ossweb-img/deploy_lstjp.png => [td-res:sjzdtz3/m/deploy_lstjp.png] duration:0.13s Speed:226.49KB/s
2025/04/12 22:03:05.113 [A]  Upload File success dist/ossweb-img/deploy_m1a4zztk.png => [td-res:sjzdtz3/m/deploy_m1a4zztk.png] duration:0.12s Speed:252.93KB/s
2025/04/12 22:03:05.120 [A]  Upload File success dist/ossweb-img/deploy_xnzsj.png => [td-res:sjzdtz3/m/deploy_xnzsj.png] duration:0.10s Speed:259.31KB/s
2025/04/12 22:03:05.120 [A]  Upload File success dist/ossweb-img/deploy_losvjpc.png => [td-res:sjzdtz3/m/deploy_losvjpc.png] duration:0.15s Speed:155.55KB/s
2025/04/12 22:03:05.137 [A]  Upload File success dist/ossweb-img/deploy_orvtjc.png => [td-res:sjzdtz3/m/deploy_orvtjc.png] duration:0.13s Speed:261.96KB/s
2025/04/12 22:03:05.181 [A]  Upload File success dist/ossweb-img/dnjx.png => [td-res:sjzdtz3/m/dnjx.png] duration:0.14s Speed:203.35KB/s
2025/04/12 22:03:05.193 [A]  Upload File success dist/ossweb-img/dwqx.png => [td-res:sjzdtz3/m/dwqx.png] duration:0.14s Speed:201.66KB/s
2025/04/12 22:03:05.291 [A]  Upload File success dist/ossweb-img/hkcwx.png => [td-res:sjzdtz3/m/hkcwx.png] duration:0.18s Speed:176.04KB/s
2025/04/12 22:03:05.313 [A]  Upload File success dist/ossweb-img/i_nav_2_click.png => [td-res:sjzdtz3/m/i_nav_2_click.png] duration:0.19s Speed:390.06KB/s
2025/04/12 22:03:05.319 [A]  Upload File success dist/ossweb-img/favicon.ico => [td-res:sjzdtz3/m/favicon.ico] duration:0.25s Speed:260.08KB/s
2025/04/12 22:03:05.338 [A]  Upload File success dist/ossweb-img/i_nav_3_click.png => [td-res:sjzdtz3/m/i_nav_3_click.png] duration:0.20s Speed:380.01KB/s
2025/04/12 22:03:05.342 [A]  Upload File success dist/ossweb-img/dn.png => [td-res:sjzdtz3/m/dn.png] duration:0.32s Speed:99.52KB/s
2025/04/12 22:03:05.346 [A]  Upload File success dist/ossweb-img/dsb.png => [td-res:sjzdtz3/m/dsb.png] duration:0.31s Speed:81.29KB/s
2025/04/12 22:03:05.346 [A]  Upload File success dist/ossweb-img/i_nav_1_click.png => [td-res:sjzdtz3/m/i_nav_1_click.png] duration:0.23s Speed:312.16KB/s
2025/04/12 22:03:05.357 [A]  Upload File success dist/ossweb-img/i_nav_4_click.png => [td-res:sjzdtz3/m/i_nav_4_click.png] duration:0.19s Speed:384.41KB/s
2025/04/12 22:03:05.376 [A]  Upload File success dist/ossweb-img/gjg.png => [td-res:sjzdtz3/m/gjg.png] duration:0.26s Speed:101.23KB/s
2025/04/12 22:03:05.406 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_g1bzc.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_g1bzc.png] duration:0.12s Speed:286.60KB/s
2025/04/12 22:03:05.435 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_aakfc.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_aakfc.png] duration:0.24s Speed:142.95KB/s
2025/04/12 22:03:05.451 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_lstjp.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_lstjp.png] duration:0.14s Speed:214.75KB/s
2025/04/12 22:03:05.458 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_tjzsj.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_tjzsj.png] duration:0.11s Speed:171.70KB/s
2025/04/12 22:03:05.476 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_zlxb.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_zlxb.png] duration:0.10s Speed:24.33KB/s
2025/04/12 22:03:05.476 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_ymfg.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_ymfg.png] duration:0.12s Speed:34.40KB/s
2025/04/12 22:03:05.476 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_xnzsj.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_xnzsj.png] duration:0.13s Speed:209.44KB/s
2025/04/12 22:03:05.476 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_pbqf.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_pbqf.png] duration:0.13s Speed:26.00KB/s
2025/04/12 22:03:05.476 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_cfz.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_cfz.png] duration:0.21s Speed:77.98KB/s
2025/04/12 22:03:05.482 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_atvqdxc.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_atvqdxc.png] duration:0.27s Speed:106.54KB/s
2025/04/12 22:03:05.482 [A]  Upload File success dist/ossweb-img/gjcwx.png => [td-res:sjzdtz3/m/gjcwx.png] duration:0.39s Speed:65.55KB/s
2025/04/12 22:03:05.482 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_losvjpc.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_losvjpc.png] duration:0.17s Speed:142.66KB/s
2025/04/12 22:03:05.497 [A]  Upload File success dist/ossweb-img/i_nav_5_click.png => [td-res:sjzdtz3/m/i_nav_5_click.png] duration:0.32s Speed:244.21KB/s
2025/04/12 22:03:05.506 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_m1a4zztk.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_m1a4zztk.png] duration:0.19s Speed:159.10KB/s
2025/04/12 22:03:05.528 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_a2.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_a2.png] duration:0.11s Speed:18.25KB/s
2025/04/12 22:03:05.530 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_zddd.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_zddd.png] duration:0.16s Speed:20.53KB/s
2025/04/12 22:03:05.532 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_a.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_a.png] duration:0.13s Speed:10.13KB/s
2025/04/12 22:03:05.539 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_b.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_b.png] duration:0.10s Speed:9.98KB/s
2025/04/12 22:03:05.556 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_c.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_c.png] duration:0.09s Speed:8.21KB/s
2025/04/12 22:03:05.567 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_b2.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_b2.png] duration:0.11s Speed:15.88KB/s
2025/04/12 22:03:05.571 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_b1.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_b1.png] duration:0.12s Speed:10.77KB/s
2025/04/12 22:03:05.572 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_c1.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_c1.png] duration:0.10s Speed:10.03KB/s
2025/04/12 22:03:05.575 [A]  Upload File success dist/ossweb-img/img/dzc_i/deploy_orvtjc.png => [td-res:sjzdtz3/m/img/dzc_i/deploy_orvtjc.png] duration:0.24s Speed:140.37KB/s
2025/04/12 22:03:05.575 [A]  Upload File success dist/ossweb-img/i_nav_0_click.png => [td-res:sjzdtz3/m/i_nav_0_click.png] duration:0.46s Speed:150.96KB/s
2025/04/12 22:03:05.575 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_d1.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_d1.png] duration:0.10s Speed:10.36KB/s
2025/04/12 22:03:05.579 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jdbsd_r.png => [td-res:sjzdtz3/m/img/dzc_i/f_jdbsd_r.png] duration:0.10s Speed:9.45KB/s
2025/04/12 22:03:05.585 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_c2.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_c2.png] duration:0.11s Speed:14.05KB/s
2025/04/12 22:03:05.590 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_d.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_d.png] duration:0.11s Speed:6.60KB/s
2025/04/12 22:03:05.592 [A]  Upload File success dist/ossweb-img/img/dzc_i/g_jd_a2.png => [td-res:sjzdtz3/m/img/dzc_i/g_jd_a2.png] duration:0.10s Speed:20.84KB/s
2025/04/12 22:03:05.602 [A]  Upload File success dist/ossweb-img/img/dzc_i/g_jd_a.png => [td-res:sjzdtz3/m/img/dzc_i/g_jd_a.png] duration:0.12s Speed:10.37KB/s
2025/04/12 22:03:05.606 [A]  Upload File success dist/ossweb-img/img/dzc_i/g_jd_b.png => [td-res:sjzdtz3/m/img/dzc_i/g_jd_b.png] duration:0.10s Speed:10.39KB/s
2025/04/12 22:03:05.608 [A]  Upload File success dist/ossweb-img/img/dzc_i/f_jd_d2.png => [td-res:sjzdtz3/m/img/dzc_i/f_jd_d2.png] duration:0.13s Speed:11.84KB/s
2025/04/12 22:03:05.617 [A]  Upload File success dist/ossweb-img/img/dzc_i/g_jd_b1.png => [td-res:sjzdtz3/m/img/dzc_i/g_jd_b1.png] duration:0.10s Speed:12.71KB/s
2025/04/12 22:03:05.628 [A]  Upload File success dist/ossweb-img/img/dzc_i/g_jd_c1.png => [td-res:sjzdtz3/m/img/dzc_i/g_jd_c1.png] duration:0.10s Speed:10.11KB/s
2025/04/12 22:03:05.632 [A]  Upload File success dist/ossweb-img/img/dzc_i/g_jd_c2.png => [td-res:sjzdtz3/m/img/dzc_i/g_jd_c2.png] duration:0.09s Speed:16.38KB/s
